,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,previous,y
64,49,1,1,3,154,1,0,5,8,357,1,0,0
66,60,5,1,2,100,0,0,5,8,528,1,0,0
67,59,4,0,2,59,1,0,5,8,273,1,0,0
68,55,9,1,1,1205,1,0,5,8,158,2,0,0
71,31,7,1,1,25,1,1,5,8,172,1,0,0
72,54,4,1,1,282,1,1,5,8,154,1,0,0
73,55,1,1,0,23,1,0,5,8,291,1,0,0
74,43,9,1,1,1937,1,0,5,8,181,1,0,0
75,53,9,1,1,384,1,0,5,8,176,1,0,0
76,44,1,1,1,582,0,1,5,8,211,1,0,0
77,55,7,0,1,91,0,0,5,8,349,1,0,0
78,49,7,0,1,0,1,1,5,8,272,1,0,0
79,55,7,0,1,1,1,0,5,8,208,1,0,0
80,45,0,2,1,206,1,0,5,8,193,1,0,0
81,47,7,0,1,164,0,0,5,8,212,1,0,0
82,42,9,2,1,690,1,0,5,8,20,1,0,0
84,46,6,1,2,137,1,1,5,8,246,1,0,0
85,51,1,1,0,173,1,0,5,8,529,2,0,0
88,46,4,0,1,16,1,1,5,8,188,2,0,0
89,57,5,1,1,486,1,0,5,8,180,2,0,0
90,42,4,2,1,50,0,0,5,8,48,1,0,0
91,30,9,1,1,152,1,1,5,8,213,2,0,0
92,60,0,1,1,290,1,0,5,8,583,1,0,0
93,60,1,1,3,54,1,0,5,8,221,1,0,0
94,57,2,0,1,-37,0,0,5,8,173,1,0,0
95,36,4,1,2,101,1,1,5,8,426,1,0,0
96,55,1,1,1,383,0,0,5,8,287,1,0,0
97,60,5,1,2,81,1,0,5,8,101,1,0,0
98,39,9,1,1,0,1,0,5,8,203,1,0,0
99,46,4,1,2,229,1,0,5,8,197,1,0,0
100,44,1,1,1,-674,1,0,5,8,257,1,0,0
101,53,1,1,0,90,0,0,5,8,124,1,0,0
102,52,1,1,0,128,1,0,5,8,229,1,0,0
103,59,1,1,0,179,1,0,5,8,55,3,0,0
104,27,9,2,2,0,1,0,5,8,400,1,0,0
105,44,1,1,1,54,1,0,5,8,197,1,0,0
106,47,9,1,2,151,1,0,5,8,190,1,0,0
107,34,0,1,1,61,0,1,5,8,21,1,0,0
108,59,5,2,1,30,1,0,5,8,514,1,0,0
110,29,7,0,1,31,1,0,5,8,194,1,0,0
111,46,9,0,1,79,0,0,5,8,144,1,0,0
112,56,6,1,0,-34,1,1,5,8,212,2,0,0
113,36,1,1,0,448,1,0,5,8,286,1,0,0
114,59,5,0,0,81,1,0,5,8,107,1,0,0
115,44,1,1,1,144,1,0,5,8,247,2,0,0
116,41,0,1,1,351,1,0,5,8,518,1,0,0
117,33,4,2,2,-67,1,0,5,8,364,1,0,0
118,59,4,0,2,262,0,0,5,8,178,1,0,0
119,57,9,1,0,0,0,0,5,8,98,1,0,0
120,56,9,0,3,56,1,0,5,8,439,1,0,0
121,51,1,1,1,26,1,0,5,8,79,1,0,0
122,34,0,1,3,3,1,0,5,8,120,3,0,0
123,43,7,1,1,41,1,1,5,8,127,2,0,0
124,52,9,1,2,7,0,1,5,8,175,1,0,0
125,33,9,2,1,105,1,0,5,8,262,2,0,0
126,29,0,2,1,818,1,1,5,8,61,1,0,0
127,34,7,1,1,-16,1,1,5,8,78,1,0,0
128,31,1,1,1,0,1,0,5,8,143,1,0,0
129,55,7,1,1,2476,1,0,5,8,579,1,0,1
131,32,0,2,1,217,1,0,5,8,345,1,0,0
132,38,9,2,1,1685,1,0,5,8,185,1,0,0
133,55,0,2,1,802,1,1,5,8,100,2,0,0
134,28,10,2,2,0,1,0,5,8,125,2,0,0
135,23,1,1,1,94,1,0,5,8,193,1,0,0
136,32,9,2,1,0,1,0,5,8,136,1,0,0
137,43,7,2,3,0,0,0,5,8,73,1,0,0
138,32,1,1,1,517,1,0,5,8,528,1,0,0
139,46,1,1,1,265,1,0,5,8,541,1,0,0
140,53,3,0,0,947,1,0,5,8,163,1,0,0
141,34,6,2,1,3,1,0,5,8,301,1,0,0
142,57,10,1,2,42,0,0,5,8,46,1,0,0
143,37,1,1,1,37,1,0,5,8,204,1,0,0
144,59,1,1,1,57,1,0,5,8,98,1,0,0
145,33,7,1,1,22,1,0,5,8,71,1,0,0
146,56,1,0,0,8,1,0,5,8,157,2,0,0
147,48,10,1,1,293,1,0,5,8,243,1,0,0
148,43,7,1,0,3,1,0,5,8,186,2,0,0
149,54,1,1,0,348,1,0,5,8,579,2,0,0
150,51,1,1,3,-19,1,0,5,8,163,2,0,0
151,26,8,2,1,0,1,0,5,8,610,2,0,0
153,39,4,1,1,18,1,0,5,8,85,1,0,0
154,50,9,1,0,139,0,0,5,8,114,2,0,0
155,41,7,1,1,0,1,0,5,8,114,2,0,0
156,51,1,1,3,1883,1,0,5,8,57,1,0,0
157,60,5,0,1,216,1,0,5,8,238,1,0,0
158,52,1,1,1,782,1,0,5,8,93,3,0,0
159,48,1,1,1,904,1,0,5,8,128,2,0,0
160,48,7,1,3,1705,1,0,5,8,107,1,0,0
161,39,9,2,2,47,1,0,5,8,181,1,0,0
162,47,7,2,1,176,1,0,5,8,303,2,0,0
163,40,1,1,1,1225,1,0,5,8,558,5,0,0
164,45,9,1,1,86,1,0,5,8,270,1,0,0
165,26,0,2,1,82,1,0,5,8,228,1,0,0
166,52,4,1,2,271,1,0,5,8,99,1,0,0
167,54,9,1,1,1378,1,0,5,8,240,1,0,0
169,50,1,1,0,0,0,0,5,8,233,3,0,0
171,44,7,1,1,1357,1,1,5,8,250,1,0,0
172,53,2,1,3,19,1,0,5,8,252,1,0,0
173,35,5,2,0,434,0,0,5,8,138,1,0,0
174,60,0,0,1,92,1,0,5,8,130,1,0,0
175,53,0,0,1,1151,1,0,5,8,412,1,0,0
176,48,10,1,1,41,1,0,5,8,179,2,0,0
177,34,9,1,1,51,1,0,5,8,19,2,0,0
178,54,7,1,1,214,1,0,5,8,458,2,0,0
180,31,7,1,2,37,1,0,5,8,313,1,0,0
183,38,9,1,1,253,1,0,5,8,416,1,0,0
184,36,0,1,2,211,1,0,5,8,146,2,0,0
185,58,5,1,0,235,1,0,5,8,167,1,0,0
188,34,1,2,1,53,1,1,5,8,346,1,0,0
189,31,4,2,2,0,1,0,5,8,562,1,0,0
190,51,5,1,1,2127,1,0,5,8,172,1,0,0
191,33,4,1,2,377,1,0,5,8,217,1,0,0
192,55,4,1,2,73,1,0,5,8,142,2,0,0
193,42,0,1,1,445,1,0,5,8,67,1,0,0
194,34,1,1,1,243,1,0,5,8,291,1,0,0
195,33,1,2,1,307,1,0,5,8,309,2,0,0
196,38,7,1,1,155,1,0,5,8,248,1,0,0
197,50,9,0,2,173,0,1,5,8,98,1,0,0
198,43,4,1,2,400,1,0,5,8,256,1,0,0
199,61,1,0,0,1428,1,0,5,8,82,2,0,0
200,47,0,1,1,219,1,0,5,8,577,1,0,0
201,48,6,1,2,7,1,0,5,8,286,1,0,0
202,44,1,1,1,575,1,0,5,8,477,1,0,0
203,35,8,2,3,298,1,0,5,8,611,2,0,0
204,35,7,1,1,0,1,0,5,8,471,1,0,0
206,41,4,1,2,176,1,1,5,8,42,1,0,0
207,41,4,1,2,517,1,0,5,8,251,1,0,0
208,39,7,2,3,257,1,0,5,8,408,1,0,0
209,42,5,1,1,56,1,0,5,8,215,1,0,0
210,38,1,1,1,-390,1,0,5,8,287,1,0,0
211,53,5,1,1,330,1,0,5,8,216,2,0,0
212,59,3,0,0,195,0,0,5,8,366,2,0,0
213,36,7,1,1,301,1,0,5,8,210,1,0,0
214,54,1,1,0,-41,1,0,5,8,288,1,0,0
215,40,9,1,2,483,1,0,5,8,168,1,0,0
216,47,11,1,3,28,0,0,5,8,338,2,0,0
217,53,10,1,3,13,0,0,5,8,410,3,0,0
218,46,3,1,0,965,0,0,5,8,177,1,0,0
219,39,4,1,2,378,1,1,5,8,127,2,0,0
220,40,10,1,1,219,1,0,5,8,357,1,0,0
221,28,1,1,0,324,1,0,5,8,175,1,0,0
222,35,2,0,1,-69,1,0,5,8,300,1,0,0
223,55,5,1,1,0,0,1,5,8,136,1,0,0
225,48,1,1,0,278,1,0,5,8,125,2,0,0
226,58,4,1,3,1065,1,0,5,8,213,3,0,0
227,33,4,2,2,34,1,0,5,8,27,1,0,0
228,36,1,1,3,1033,0,0,5,8,238,2,0,0
229,53,7,0,1,1467,1,0,5,8,124,1,0,0
230,47,1,1,0,-12,1,0,5,8,18,1,0,0
233,53,1,1,3,1827,0,0,5,8,121,1,0,0
234,55,1,1,0,627,1,0,5,8,247,1,0,0
235,45,1,1,0,25,1,0,5,8,40,1,0,0
236,53,0,0,1,315,1,0,5,8,181,2,0,0
237,37,1,1,0,0,1,0,5,8,79,1,0,0
238,44,0,0,1,66,1,0,5,8,206,1,0,0
239,49,1,0,0,-9,1,1,5,8,389,1,0,0
240,46,9,1,1,349,1,1,5,8,127,1,0,0
242,38,0,1,1,0,0,0,5,8,151,1,0,0
243,43,9,1,1,434,1,0,5,8,117,1,0,0
244,49,4,1,2,3237,1,0,5,8,232,3,0,0
245,42,4,1,3,275,0,0,5,8,408,2,0,0
246,22,1,2,1,0,1,0,5,8,179,2,0,0
247,40,4,1,2,207,1,0,5,8,39,1,0,0
248,39,1,1,1,483,1,0,5,8,282,1,0,0
250,49,0,1,1,428,1,0,5,8,50,1,0,0
251,53,1,1,1,0,1,1,5,8,181,1,0,0
252,34,7,2,1,0,1,0,5,8,142,1,0,0
253,33,9,0,1,140,1,0,5,8,227,1,0,0
254,50,4,2,2,297,1,0,5,8,119,1,0,0
255,39,1,1,0,279,1,0,5,8,361,1,0,0
256,59,2,0,1,901,1,0,5,8,73,3,0,0
257,30,9,2,1,2573,1,0,5,8,67,2,0,0
258,36,7,1,1,143,1,1,5,8,350,1,0,0
259,40,1,1,1,475,1,0,5,8,332,2,0,0
260,53,1,1,1,70,1,0,5,8,611,2,0,0
261,34,4,2,2,318,1,0,5,8,113,2,0,0
262,37,9,1,1,275,1,0,5,8,132,1,0,0
263,42,4,0,2,742,1,0,5,8,58,3,0,0
264,41,2,1,0,236,1,0,5,8,151,1,0,0
265,30,8,2,2,25,1,0,5,8,89,2,0,0
266,37,4,2,2,600,1,0,5,8,152,1,0,0
267,39,0,0,1,-349,1,0,5,8,611,2,0,0
268,41,1,1,0,183,1,1,5,8,110,2,0,0
269,40,1,1,0,0,1,0,5,8,463,1,0,0
270,42,4,2,2,0,1,1,5,8,562,2,0,1
272,57,9,1,1,1078,1,0,5,8,10,4,0,0
273,56,2,0,1,155,0,0,5,8,118,3,0,0
274,37,0,1,1,190,1,0,5,8,92,2,0,0
275,59,5,1,1,319,1,0,5,8,143,3,0,0
276,39,7,0,1,-185,1,0,5,8,189,3,0,0
277,49,7,1,1,47,0,0,5,8,234,2,0,0
278,38,7,2,1,570,1,0,5,8,75,2,0,0
279,36,6,1,2,19,0,0,5,8,189,2,0,0
280,50,1,1,0,61,1,0,5,8,621,3,0,0
281,41,0,1,1,-62,1,1,5,8,55,2,0,0
282,54,9,1,2,258,0,0,5,8,310,4,0,0
283,58,1,1,0,76,1,0,5,8,156,2,0,0
284,30,1,2,1,0,1,0,5,8,5,2,0,0
285,33,0,2,1,352,1,0,5,8,225,2,0,0
286,47,0,1,1,368,1,0,5,8,125,2,0,0
287,50,9,2,2,339,1,0,5,8,2,3,0,0
288,32,1,1,1,1331,1,0,5,8,286,2,0,0
289,40,6,1,1,672,1,0,5,8,164,2,0,0
290,37,4,1,2,58,1,0,5,8,98,2,0,0
292,24,8,2,1,423,1,0,5,8,226,3,0,0
293,54,4,1,2,0,0,0,5,8,120,2,0,0
294,34,9,1,1,19,1,0,5,8,362,4,0,0
295,56,9,0,0,13,1,0,5,8,357,2,0,0
296,31,1,2,1,3,1,0,5,8,200,2,0,0
297,24,8,2,1,82,1,0,5,8,204,2,0,0
298,42,1,0,0,28,1,0,5,8,126,3,0,0
299,57,9,1,1,792,1,0,5,8,65,2,0,0
300,42,1,1,3,408,1,0,5,8,107,2,0,0
301,51,0,1,1,531,1,0,5,8,267,2,0,0
302,57,5,1,1,211,1,0,5,8,248,2,0,0
303,36,7,2,1,62,1,0,5,8,215,2,0,0
304,53,7,1,3,257,1,0,5,8,209,2,0,0
305,50,9,1,1,1234,1,0,5,8,205,2,0,0
306,54,4,1,2,313,1,0,5,8,83,2,0,0
307,55,1,1,1,89,1,0,5,8,106,3,0,0
308,44,1,1,1,129,1,1,5,8,189,2,0,0
309,43,4,1,3,0,1,0,5,8,105,2,0,0
310,56,0,1,1,353,1,0,5,8,106,2,0,0
311,54,9,1,3,851,1,0,5,8,108,2,0,0
312,55,7,0,0,96,1,1,5,8,311,2,0,0
313,37,7,0,1,398,1,1,5,8,214,2,0,0
314,33,0,2,2,193,0,0,5,8,132,2,0,0
315,46,0,1,1,-358,1,0,5,8,358,2,0,0
316,36,1,1,1,539,1,1,5,8,453,2,0,0
317,51,9,2,1,0,1,0,5,8,364,2,0,0
318,40,5,2,0,0,0,0,5,8,136,2,0,0
319,42,1,1,1,490,1,0,5,8,386,2,0,0
320,51,1,1,1,0,1,0,5,8,173,2,0,0
321,49,1,1,3,403,1,0,5,8,241,2,0,0
322,48,4,1,1,161,1,0,5,8,224,3,0,0
323,32,9,0,2,2558,0,0,5,8,148,2,0,0
324,31,0,2,1,98,1,0,5,8,196,2,0,0
325,55,4,2,2,115,0,0,5,8,111,4,0,0
326,40,1,2,1,436,1,0,5,8,231,3,0,0
327,47,9,1,2,831,1,0,5,8,316,3,0,0
328,57,9,1,3,206,1,0,5,8,216,3,0,0
329,41,1,1,1,290,1,0,5,8,240,2,0,0
331,42,1,1,3,57,1,0,5,8,425,2,0,0
332,30,1,2,1,-457,1,0,5,8,143,2,0,0
333,58,4,2,2,1387,1,0,5,8,174,5,0,0
335,49,1,1,1,30,1,0,5,8,135,4,0,0
336,42,0,2,1,1022,1,0,5,8,146,2,0,0
337,53,9,1,1,56,1,1,5,8,152,2,0,0
338,51,0,2,1,-2,0,0,5,8,402,3,0,0
339,32,7,2,1,121,1,0,5,8,213,2,0,0
340,41,1,2,1,842,1,0,5,8,144,3,0,0
341,43,4,0,1,693,1,0,5,8,124,3,0,0
342,40,1,0,1,-333,1,0,5,8,183,2,0,0
343,50,1,1,0,1533,1,0,5,8,325,2,0,0
344,34,4,1,2,46,1,0,5,8,39,4,0,0
345,53,7,1,3,18,0,0,5,8,503,2,0,0
346,45,9,1,1,44,1,0,5,8,95,4,0,0
348,44,7,1,2,510,1,0,5,8,421,4,0,0
349,55,4,1,2,685,1,0,5,8,174,3,0,0
350,46,4,2,2,187,1,0,5,8,113,2,0,0
352,34,0,1,1,560,1,0,5,8,198,3,0,0
353,36,1,1,1,0,1,0,5,8,195,2,0,0
354,59,11,0,3,27,0,0,5,8,347,3,0,0
355,31,0,2,1,12,1,0,5,8,208,2,0,0
356,44,1,2,1,34,1,0,5,8,404,4,0,0
357,33,2,2,2,1068,1,0,5,8,396,2,0,0
358,40,1,1,1,211,1,0,5,8,216,4,0,0
359,46,0,2,2,377,1,0,5,8,98,2,0,0
360,48,4,1,2,263,1,0,5,8,350,2,0,0
361,42,7,1,1,1263,1,0,6,8,114,2,0,0
362,27,7,1,1,8,1,0,6,8,88,3,0,0
363,48,0,1,1,126,1,1,6,8,379,2,0,0
364,59,0,1,1,230,1,0,6,8,190,3,0,0
365,46,9,1,2,841,1,0,6,8,158,1,0,0
366,38,0,0,1,308,1,0,6,8,102,1,0,0
367,43,4,0,2,1,1,0,6,8,306,1,0,0
368,38,0,0,2,86,1,0,6,8,218,1,0,0
369,23,8,2,1,157,1,0,6,8,54,1,0,0
370,34,7,1,1,22,1,0,6,8,344,1,0,0
371,38,0,1,1,46,1,1,6,8,195,1,0,0
373,25,0,2,1,122,1,0,6,8,286,1,0,0
374,48,1,1,3,131,1,0,6,8,189,1,0,0
375,49,1,2,1,143,1,0,6,8,83,1,0,0
376,38,0,2,1,393,0,0,6,8,184,2,0,0
377,43,1,1,0,98,1,0,6,8,235,1,0,0
378,33,4,1,2,0,1,0,6,8,290,1,0,0
379,55,1,1,1,224,1,0,6,8,232,1,0,0
380,38,1,1,1,757,1,0,6,8,133,1,0,0
381,49,7,1,1,245,1,1,6,8,318,1,0,0
383,43,0,1,3,350,0,0,6,8,437,1,0,0
384,38,1,1,1,20,1,0,6,8,402,1,0,0
385,58,7,1,1,1667,1,1,6,8,85,1,0,0
386,57,9,1,3,345,1,0,6,8,125,1,0,0
387,32,10,1,1,10,1,0,6,8,501,4,0,0
389,58,1,0,3,29,1,0,6,8,253,1,0,0
392,46,9,0,2,477,1,0,6,8,114,1,0,0
393,27,0,1,1,4,1,0,6,8,243,1,0,0
395,32,9,2,1,0,1,1,6,8,135,3,0,0
396,40,0,2,1,263,1,0,6,8,231,1,0,0
397,38,0,1,1,1,0,0,6,8,76,1,0,0
398,34,1,1,1,283,0,1,6,8,199,1,0,0
399,47,1,1,0,206,1,0,6,8,152,1,0,0
400,42,3,1,0,17,1,0,6,8,124,1,0,0
401,48,9,1,1,141,1,1,6,8,424,1,0,0
402,29,6,2,2,16,1,0,6,8,43,1,0,0
403,50,7,1,1,206,1,0,6,8,154,1,0,0
404,52,9,1,3,7,0,0,6,8,203,2,0,0
405,50,4,1,2,0,0,0,6,8,326,1,0,0
406,58,5,1,2,0,0,0,6,8,393,1,0,0
407,46,1,0,0,1927,1,0,6,8,241,3,0,0
408,38,9,1,1,284,1,0,6,8,483,1,0,0
409,46,1,1,1,1660,1,0,6,8,259,1,0,0
410,32,7,2,1,406,1,0,6,8,227,1,0,0
412,39,0,2,1,-25,1,0,6,8,576,1,0,0
413,48,0,1,1,182,1,0,6,8,180,2,0,0
414,36,2,1,2,1169,1,0,6,8,168,2,0,0
415,34,0,0,1,67,1,0,6,8,90,1,0,0
416,40,9,1,1,77,0,0,6,8,505,1,0,0
417,43,10,1,1,0,1,0,6,8,245,1,0,0
418,52,1,0,0,55,1,1,6,8,186,1,0,0
419,33,9,1,1,72,1,0,6,8,623,1,0,0
420,49,4,2,2,163,1,0,6,8,496,3,0,0
421,32,4,2,2,151,1,0,6,8,118,1,0,0
422,39,0,2,1,113,1,0,6,8,342,1,0,0
423,40,1,1,1,0,1,0,6,8,225,1,0,0
424,38,9,2,2,9,1,0,6,8,185,3,0,0
425,43,4,1,1,375,1,0,6,8,196,2,0,0
426,39,7,1,1,1142,1,0,6,8,276,1,0,0
427,54,1,1,0,2102,1,0,6,8,76,1,0,0
429,40,1,1,1,217,1,0,6,8,195,1,0,0
432,39,1,1,1,0,1,0,6,8,262,1,0,0
433,40,1,1,0,46,1,0,6,8,119,1,0,0
434,32,1,1,1,320,1,0,6,8,198,2,0,0
435,55,0,1,1,183,1,0,6,8,150,1,0,0
436,45,1,1,1,39,0,0,6,8,241,1,0,0
437,35,4,2,2,560,1,0,6,8,181,1,0,0
438,58,9,0,1,469,0,0,6,8,196,1,0,0
439,35,0,1,1,530,1,0,6,8,149,1,0,0
440,49,7,1,0,61,1,0,6,8,246,1,0,0
441,34,9,2,2,242,1,0,6,8,112,1,0,0
442,36,1,1,1,139,1,0,6,8,309,2,0,0
443,24,6,2,1,0,1,0,6,8,278,1,0,0
444,34,9,1,1,367,1,0,6,8,140,1,0,0
445,51,0,0,1,228,1,0,6,8,136,1,0,0
447,50,6,1,3,-84,1,0,6,8,101,1,0,0
448,32,7,2,1,310,1,0,6,8,144,1,0,0
449,42,1,1,3,132,1,0,6,8,238,1,0,0
450,50,9,1,1,797,1,0,6,8,354,1,0,0
451,40,7,1,1,71,0,0,6,8,79,1,0,0
452,46,4,0,3,2,1,0,6,8,187,1,0,0
453,37,4,1,2,231,1,1,6,8,451,2,0,0
454,34,1,1,1,270,1,1,6,8,159,1,0,0
455,44,1,1,1,274,1,1,6,8,409,1,0,0
456,40,0,2,1,-109,1,1,6,8,170,1,0,0
457,37,9,1,1,1,1,0,6,8,608,1,0,1
458,33,1,2,1,-60,0,0,6,8,243,1,0,0
459,35,1,1,1,89,1,0,6,8,145,2,0,0
460,58,1,0,1,-11,0,0,6,8,112,1,0,0
461,39,1,1,0,0,1,0,6,8,262,2,0,0
462,43,1,1,1,-509,1,0,6,8,124,1,0,0
463,39,10,1,0,408,1,0,6,8,53,1,0,0
464,36,7,2,0,58,1,0,6,8,134,1,0,0
465,57,5,2,1,1640,0,1,6,8,204,4,0,0
466,36,0,2,1,20,1,0,6,8,186,1,0,0
468,55,1,1,1,52,1,0,6,8,182,1,0,0
469,44,6,1,2,292,1,0,6,8,162,1,0,0
470,44,7,0,1,424,1,0,6,8,27,1,0,0
472,46,1,1,3,1044,1,0,6,8,43,1,0,0
473,39,1,1,1,983,1,0,6,8,97,1,0,0
475,40,1,1,0,668,1,0,6,8,283,2,0,0
476,50,4,1,2,964,1,0,6,8,323,1,0,0
477,31,4,2,1,301,1,0,6,8,82,1,0,0
478,37,0,2,1,140,1,0,6,8,310,1,0,0
479,39,4,2,1,1877,1,0,6,8,185,1,0,0
480,51,1,1,0,1127,1,0,6,8,47,1,0,0
481,41,9,1,1,871,1,0,6,8,145,1,0,0
482,41,9,1,1,767,1,1,6,8,204,1,0,0
483,43,1,1,1,0,0,0,6,8,187,1,0,0
484,30,7,2,1,209,1,0,6,8,30,2,0,0
485,54,4,0,0,0,0,0,6,8,472,1,0,0
486,43,1,0,1,110,1,1,6,8,448,1,0,0
487,59,4,0,2,-76,1,1,6,8,264,1,0,0
488,47,9,1,3,178,1,0,6,8,169,1,0,0
489,40,1,1,0,-66,1,0,6,8,288,1,0,0
490,32,9,1,1,0,1,0,6,8,176,2,0,0
491,29,1,1,1,1,1,0,6,8,215,1,0,0
492,36,1,1,1,0,1,0,6,8,337,1,0,0
494,30,1,0,1,-209,1,0,6,8,188,2,0,0
495,39,0,2,1,0,1,0,6,8,174,2,0,0
496,39,1,0,1,42,1,0,6,8,226,2,0,0
497,50,1,0,1,41,1,0,6,8,190,1,0,0
498,44,1,1,1,-99,1,0,6,8,111,2,0,0
499,37,9,2,1,17,1,0,6,8,164,1,0,0
500,46,0,1,0,276,1,1,6,8,157,2,0,0
501,32,9,2,3,-170,0,0,6,8,46,1,0,0
502,37,4,2,2,230,1,1,6,8,374,1,0,0
503,29,1,1,1,9,1,0,6,8,349,1,0,0
504,41,1,1,1,946,1,0,6,8,325,1,0,0
505,45,1,1,0,1297,1,0,6,8,233,2,0,0
506,57,5,0,1,-331,1,0,6,8,531,1,0,0
507,48,1,2,1,44,1,0,6,8,153,1,0,0
508,60,5,1,1,15,0,0,6,8,80,1,0,0
509,26,0,2,1,712,1,0,6,8,232,1,0,0
511,34,0,1,1,507,1,0,6,8,190,1,0,0
513,41,1,1,0,0,1,1,6,8,238,1,0,0
514,50,4,0,1,1716,1,0,6,8,82,1,0,0
515,49,2,1,1,167,1,1,6,8,198,3,0,0
516,44,0,1,3,40,0,1,6,8,160,2,0,0
517,44,1,1,0,148,1,0,6,8,211,1,0,0
518,31,9,1,1,17,1,1,6,8,120,1,0,0
519,34,1,2,2,1011,1,0,6,8,136,1,0,0
520,46,4,2,3,1527,1,0,6,8,269,1,0,0
521,42,4,1,2,744,0,0,6,8,157,1,0,0
522,52,0,1,1,484,1,0,6,8,128,1,0,0
523,29,4,2,2,0,1,0,6,8,211,1,0,0
524,53,5,1,0,136,1,0,6,8,267,2,0,0
525,43,1,1,1,1335,1,0,6,8,371,2,0,0
526,38,4,1,1,517,1,0,6,8,288,2,0,0
527,46,4,1,2,459,1,0,6,8,221,1,0,0
528,48,4,0,3,549,1,0,6,8,427,1,0,0
529,30,0,0,1,83,1,1,6,8,310,1,0,0
530,44,1,1,0,213,0,0,6,8,158,1,0,0
531,31,3,1,0,203,1,0,6,8,604,3,0,0
532,42,7,2,1,518,1,0,6,8,198,1,0,0
534,52,0,1,1,1236,1,0,6,8,247,1,0,0
535,45,1,0,1,756,1,0,6,8,179,2,0,0
536,48,1,1,1,157,1,0,6,8,73,1,0,0
537,45,1,1,0,-66,1,0,6,8,263,2,0,0
538,34,1,1,3,245,1,0,6,8,13,1,0,0
539,34,1,1,0,-144,1,0,6,8,79,2,0,0
540,46,1,1,1,71,1,0,6,8,416,1,0,0
541,49,7,0,1,505,1,0,6,8,162,1,0,0
542,50,9,1,0,249,1,0,6,8,129,1,0,0
543,34,0,2,1,0,1,0,6,8,150,1,0,0
544,40,10,2,1,11,1,0,6,8,43,1,0,0
545,36,0,1,1,639,1,0,6,8,191,1,0,0
